,neuron_idx,layer_name,real_accuracy,pseudo_accuracy,low_freq_accuracy,high_freq_accuracy,simple_accuracy,complex_accuracy,primacy_accuracy,recency_accuracy,short_accuracy,long_accuracy
146,18,decoder,1.0,0.97,1.0,1.0,1.0,1.0,0.9941666666666666,0.9941666666666666,1.0,0.98
147,19,decoder,1.0,0.975,1.0,1.0,1.0,1.0,0.9958333333333333,0.9933333333333333,1.0,0.9833333333333333
148,20,decoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.9941666666666666,0.9933333333333333,1.0,0.9816666666666667
149,21,decoder,1.0,0.97,1.0,1.0,1.0,1.0,0.9933333333333333,0.9925,1.0,0.98
150,22,decoder,0.99875,0.97,0.9895833333333334,1.0,0.9975,1.0,0.9958333333333333,0.99,1.0,0.9783333333333333
151,23,decoder,1.0,0.975,1.0,1.0,1.0,1.0,0.995,0.9933333333333333,1.0,0.9833333333333333
152,24,decoder,1.0,0.9675,1.0,1.0,1.0,1.0,0.9958333333333333,0.9908333333333333,1.0,0.9783333333333333
153,25,decoder,0.99875,0.965,0.9895833333333334,1.0,0.9975,1.0,0.9925,0.9916666666666667,1.0,0.975
154,26,decoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.9958333333333333,0.9933333333333333,1.0,0.9816666666666667
155,27,decoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.995,0.9925,1.0,0.9816666666666667
156,28,decoder,1.0,0.9775,1.0,1.0,1.0,1.0,0.9966666666666667,0.9933333333333333,1.0,0.985
157,29,decoder,1.0,0.975,1.0,1.0,1.0,1.0,0.995,0.9941666666666666,1.0,0.9833333333333333
158,30,decoder,1.0,0.97,1.0,1.0,1.0,1.0,0.995,0.9925,1.0,0.98
159,31,decoder,0.98625,0.9575,0.9791666666666666,0.9872159090909091,0.99,0.9825,0.9841666666666666,0.98,1.0,0.9533333333333334
160,32,decoder,1.0,0.9775,1.0,1.0,1.0,1.0,0.9958333333333333,0.9941666666666666,1.0,0.985
161,33,decoder,1.0,0.97,1.0,1.0,1.0,1.0,0.9941666666666666,0.9916666666666667,1.0,0.98
162,34,decoder,1.0,0.975,1.0,1.0,1.0,1.0,0.9958333333333333,0.9941666666666666,1.0,0.9833333333333333
163,35,decoder,1.0,0.975,1.0,1.0,1.0,1.0,0.9958333333333333,0.9933333333333333,1.0,0.9833333333333333
164,36,decoder,1.0,0.975,1.0,1.0,1.0,1.0,0.9941666666666666,0.995,1.0,0.9833333333333333
165,37,decoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.9941666666666666,0.9933333333333333,1.0,0.9816666666666667
166,38,decoder,1.0,0.97,1.0,1.0,1.0,1.0,0.9941666666666666,0.9933333333333333,1.0,0.98
167,39,decoder,1.0,0.97,1.0,1.0,1.0,1.0,0.9933333333333333,0.9933333333333333,1.0,0.98
168,40,decoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.9941666666666666,0.9933333333333333,1.0,0.9816666666666667
169,41,decoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.9941666666666666,0.9941666666666666,1.0,0.9816666666666667
170,42,decoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.9941666666666666,0.9933333333333333,1.0,0.9816666666666667
171,43,decoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.9941666666666666,0.9941666666666666,1.0,0.9816666666666667
172,44,decoder,1.0,0.975,1.0,1.0,1.0,1.0,0.995,0.9916666666666667,1.0,0.9833333333333333
173,45,decoder,1.0,0.98,1.0,1.0,1.0,1.0,0.9958333333333333,0.9941666666666666,1.0,0.9866666666666667
174,46,decoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.995,0.9933333333333333,1.0,0.9816666666666667
175,47,decoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.9941666666666666,0.9933333333333333,1.0,0.9816666666666667
176,48,decoder,1.0,0.975,1.0,1.0,1.0,1.0,0.9958333333333333,0.9933333333333333,1.0,0.9833333333333333
177,49,decoder,0.9975,0.9575,0.9895833333333334,0.9985795454545454,1.0,0.995,0.9958333333333333,0.9866666666666667,1.0,0.9683333333333334
178,50,decoder,1.0,0.9775,1.0,1.0,1.0,1.0,0.995,0.995,1.0,0.985
179,51,decoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.995,0.9933333333333333,1.0,0.9816666666666667
180,52,decoder,1.0,0.975,1.0,1.0,1.0,1.0,0.995,0.9933333333333333,1.0,0.9833333333333333
181,53,decoder,1.0,0.975,1.0,1.0,1.0,1.0,0.995,0.9941666666666666,1.0,0.9833333333333333
182,54,decoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.995,0.9916666666666667,1.0,0.9816666666666667
183,55,decoder,1.0,0.97,1.0,1.0,1.0,1.0,0.9941666666666666,0.9925,1.0,0.98
184,56,decoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.9941666666666666,0.9925,1.0,0.9816666666666667
185,57,decoder,1.0,0.98,1.0,1.0,1.0,1.0,0.9958333333333333,0.9958333333333333,1.0,0.9866666666666667
186,58,decoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.9941666666666666,0.9933333333333333,1.0,0.9816666666666667
187,59,decoder,1.0,0.97,1.0,1.0,1.0,1.0,0.995,0.9925,1.0,0.98
188,60,decoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.9941666666666666,0.9941666666666666,1.0,0.9816666666666667
189,61,decoder,1.0,0.9675,1.0,1.0,1.0,1.0,0.9933333333333333,0.9908333333333333,1.0,0.9783333333333333
190,62,decoder,0.9975,0.9675,0.9895833333333334,0.9985795454545454,0.995,1.0,0.9941666666666666,0.9891666666666666,1.0,0.975
191,63,decoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.9941666666666666,0.9941666666666666,1.0,0.9816666666666667
192,64,decoder,1.0,0.9775,1.0,1.0,1.0,1.0,0.9958333333333333,0.9933333333333333,1.0,0.985
193,65,decoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.9941666666666666,0.9925,1.0,0.9816666666666667
194,66,decoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.9941666666666666,0.9933333333333333,1.0,0.9816666666666667
195,67,decoder,1.0,0.97,1.0,1.0,1.0,1.0,0.9941666666666666,0.9925,1.0,0.98
196,68,decoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.995,0.9933333333333333,1.0,0.9816666666666667
197,69,decoder,1.0,0.9675,1.0,1.0,1.0,1.0,0.995,0.9908333333333333,1.0,0.9783333333333333
198,70,decoder,1.0,0.975,1.0,1.0,1.0,1.0,0.9941666666666666,0.9941666666666666,1.0,0.9833333333333333
199,71,decoder,1.0,0.975,1.0,1.0,1.0,1.0,0.995,0.9941666666666666,1.0,0.9833333333333333
200,72,decoder,1.0,0.98,1.0,1.0,1.0,1.0,0.9958333333333333,0.995,1.0,0.9866666666666667
201,73,decoder,1.0,0.9675,1.0,1.0,1.0,1.0,0.9933333333333333,0.9933333333333333,1.0,0.9783333333333333
202,74,decoder,0.99875,0.9625,0.9895833333333334,1.0,0.9975,1.0,0.9925,0.99,1.0,0.9733333333333334
203,75,decoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.9958333333333333,0.9925,1.0,0.9816666666666667
204,76,decoder,1.0,0.9775,1.0,1.0,1.0,1.0,0.9958333333333333,0.9941666666666666,1.0,0.985
205,77,decoder,1.0,0.975,1.0,1.0,1.0,1.0,0.995,0.9941666666666666,1.0,0.9833333333333333
206,78,decoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.995,0.9933333333333333,1.0,0.9816666666666667
207,79,decoder,1.0,0.97,1.0,1.0,1.0,1.0,0.9933333333333333,0.9941666666666666,1.0,0.98
208,80,decoder,0.99875,0.975,1.0,0.9985795454545454,1.0,0.9975,0.995,0.9933333333333333,1.0,0.9816666666666667
209,81,decoder,1.0,0.975,1.0,1.0,1.0,1.0,0.995,0.9933333333333333,1.0,0.9833333333333333
210,82,decoder,1.0,0.9775,1.0,1.0,1.0,1.0,0.9958333333333333,0.995,1.0,0.985
211,83,decoder,1.0,0.98,1.0,1.0,1.0,1.0,0.9966666666666667,0.995,1.0,0.9866666666666667
212,84,decoder,1.0,0.9675,1.0,1.0,1.0,1.0,0.9933333333333333,0.9925,1.0,0.9783333333333333
213,85,decoder,1.0,0.975,1.0,1.0,1.0,1.0,0.995,0.9941666666666666,1.0,0.9833333333333333
214,86,decoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.9941666666666666,0.9933333333333333,1.0,0.9816666666666667
215,87,decoder,1.0,0.97,1.0,1.0,1.0,1.0,0.9933333333333333,0.9916666666666667,1.0,0.98
216,88,decoder,1.0,0.97,1.0,1.0,1.0,1.0,0.9941666666666666,0.9933333333333333,1.0,0.98
217,89,decoder,1.0,0.97,1.0,1.0,1.0,1.0,0.995,0.9916666666666667,1.0,0.98
218,90,decoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.995,0.9925,1.0,0.9816666666666667
219,91,decoder,0.99875,0.9775,1.0,0.9985795454545454,0.9975,1.0,0.9966666666666667,0.9933333333333333,1.0,0.9833333333333333
220,92,decoder,1.0,0.975,1.0,1.0,1.0,1.0,0.995,0.9933333333333333,1.0,0.9833333333333333
221,93,decoder,1.0,0.975,1.0,1.0,1.0,1.0,0.995,0.9941666666666666,1.0,0.9833333333333333
222,94,decoder,1.0,0.9775,1.0,1.0,1.0,1.0,0.9966666666666667,0.995,1.0,0.985
223,95,decoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.9941666666666666,0.9925,1.0,0.9816666666666667
224,96,decoder,1.0,0.97,1.0,1.0,1.0,1.0,0.9933333333333333,0.9925,1.0,0.98
225,97,decoder,1.0,0.975,1.0,1.0,1.0,1.0,0.995,0.9933333333333333,1.0,0.9833333333333333
226,98,decoder,1.0,0.97,1.0,1.0,1.0,1.0,0.9933333333333333,0.9933333333333333,1.0,0.98
227,99,decoder,1.0,0.975,1.0,1.0,1.0,1.0,0.995,0.9933333333333333,1.0,0.9833333333333333
228,100,decoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.9941666666666666,0.9933333333333333,1.0,0.9816666666666667
229,101,decoder,1.0,0.975,1.0,1.0,1.0,1.0,0.995,0.995,1.0,0.9833333333333333
230,102,decoder,1.0,0.97,1.0,1.0,1.0,1.0,0.9933333333333333,0.9933333333333333,1.0,0.98
231,103,decoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.9941666666666666,0.9933333333333333,1.0,0.9816666666666667
232,104,decoder,1.0,0.975,1.0,1.0,1.0,1.0,0.9958333333333333,0.995,1.0,0.9833333333333333
233,105,decoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.9941666666666666,0.9925,1.0,0.9816666666666667
234,106,decoder,1.0,0.9675,1.0,1.0,1.0,1.0,0.9933333333333333,0.9925,1.0,0.9783333333333333
235,107,decoder,1.0,0.975,1.0,1.0,1.0,1.0,0.995,0.9941666666666666,1.0,0.9833333333333333
236,108,decoder,1.0,0.9625,1.0,1.0,1.0,1.0,0.9933333333333333,0.9883333333333333,1.0,0.975
237,109,decoder,1.0,0.97,1.0,1.0,1.0,1.0,0.9941666666666666,0.9925,1.0,0.98
238,110,decoder,1.0,0.97,1.0,1.0,1.0,1.0,0.9941666666666666,0.9916666666666667,1.0,0.98
239,111,decoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.9941666666666666,0.9941666666666666,1.0,0.9816666666666667
240,112,decoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.9941666666666666,0.9941666666666666,1.0,0.9816666666666667
241,113,decoder,1.0,0.975,1.0,1.0,1.0,1.0,0.995,0.9933333333333333,1.0,0.9833333333333333
242,114,decoder,1.0,0.97,1.0,1.0,1.0,1.0,0.9933333333333333,0.9933333333333333,1.0,0.98
243,115,decoder,1.0,0.9725,1.0,1.0,1.0,1.0,0.9941666666666666,0.9941666666666666,1.0,0.9816666666666667
